key,population,race_total,black_total,race_hispanic_total,white_alone,hispanic_total,percent_bachelors,median_income,percent_black,percent_white,percent_hispanic
42001,102627,102627,1633,102627,91003,7356,0.226,68411,0.01591199197092383,0.8867354594794742,0.07167704405273466
42007,164781,164781,9769,164781,146576,2789,0.255,59014,0.05928474763473944,0.8895200296150648,0.016925495051007093
42013,122495,122495,2230,122495,115375,1549,0.223,50856,0.018204824686721906,0.9418751785787175,0.012645414098534634
42019,187798,187798,1899,187798,177231,2971,0.375,72642,0.01011192877453434,0.9437320951234838,0.015820189778378898
42025,63964,63964,1496,63964,58106,3290,0.179,57601,0.023388155837658683,0.9084172346945156,0.05143518229003815
42031,38633,38633,576,38633,36890,394,0.23,49695,0.014909533300546165,0.9548831310019931,0.01019853493127637
42037,65390,65390,1116,65390,60683,1933,0.243,52219,0.01706682979048784,0.928016516286894,0.02956109496864964
42043,277071,277071,54075,277071,178712,26948,0.32299999999999995,63123,0.19516658185086133,0.6450043490657629,0.09726026902851616
42049,272046,272046,19447,272046,227513,11982,0.287,52863,0.07148423428390786,0.8363034192746814,0.04404402196687325
42055,154954,154954,6317,154954,135473,9272,0.222,63420,0.040766937284613496,0.8742788182299263,0.05983711294964957
42061,45145,45145,2503,45145,40766,907,0.17800000000000002,53597,0.05544357071657991,0.9030014398050725,0.020090818473806622
42067,24657,24657,311,24657,23076,963,0.152,53502,0.012613051060550757,0.9358802774060104,0.039055846210001216
42073,86148,86148,3114,86148,78773,1316,0.223,50080,0.036147095695779355,0.9143915122811905,0.015276036588197057
42079,317547,317547,16411,317547,254848,41053,0.23600000000000002,53194,0.051680538628927374,0.8025520631591544,0.12928164964556427
42087,46179,46179,266,46179,44126,751,0.132,52641,0.005760194027588298,0.9555425626366963,0.016262803438792526
42129,350722,350722,8469,350722,327908,4362,0.303,61398,0.024147330364220093,0.9349513289728046,0.012437200973990797
42003,1218380,1218380,158337,1218380,948585,26607,0.425,62320,0.12995699207143913,0.7785625174411924,0.02183801441258064
42005,65356,65356,566,65356,63260,520,0.18100000000000002,53545,0.008660260725870617,0.9679294938490728,0.007956423281718587
42009,48154,48154,497,48154,46482,597,0.159,51531,0.010321053287369689,0.9652780662042614,0.012397723968933006
42011,419062,419062,21938,419062,295451,91381,0.259,66154,0.052350248889185845,0.7050293274026278,0.2180608120039517
42015,60721,60721,407,60721,57988,887,0.187,52375,0.0067027881622502925,0.9549908598343242,0.01460779631428995
42017,627668,627668,24445,627668,518679,34670,0.42200000000000004,93181,0.03894574838927586,0.8263588393864272,0.055236207676669834
