fipscode,last,party,votepct
02000,Trump,GOP,0.531229
02000,Biden,Dem,0.430065
02000,Jorgensen,Lib,0.024882
02000,Ventura,Grn,0.007475
02000,Blankenship,CST,0.003152
02000,Pierce,PEC,0.002307
02000,De La Fuente,ALP,0.000889
01001,Trump,GOP,0.716406
01001,Biden,Dem,0.270954
01001,Jorgensen,Lib,0.012639
01003,Trump,GOP,0.763999
01003,Biden,Dem,0.224762
01003,Jorgensen,Lib,0.011239
01005,Trump,GOP,0.535123
01005,Biden,Dem,0.458405
01005,Jorgensen,Lib,0.006472
01007,Trump,GOP,0.785081
01007,Biden,Dem,0.207199
01007,Jorgensen,Lib,0.00772
01009,Trump,GOP,0.896626
01009,Biden,Dem,0.095791
01009,Jorgensen,Lib,0.007583
01011,Trump,GOP,0.248536
01011,Biden,Dem,0.747343
01011,Jorgensen,Lib,0.004121
01013,Trump,GOP,0.575617
01013,Biden,Dem,0.418161
01013,Jorgensen,Lib,0.006222
01015,Trump,GOP,0.690014
01015,Biden,Dem,0.299115
01015,Jorgensen,Lib,0.010871
01017,Trump,GOP,0.573629
01017,Biden,Dem,0.417131
01017,Jorgensen,Lib,0.00924
01019,Trump,GOP,0.861177
01019,Biden,Dem,0.132151
01019,Jorgensen,Lib,0.006673
01021,Trump,GOP,0.834241
01021,Biden,Dem,0.15938
01021,Jorgensen,Lib,0.006379
01023,Trump,GOP,0.575794
01023,Biden,Dem,0.419113
01023,Jorgensen,Lib,0.005093
01025,Trump,GOP,0.557892
01025,Biden,Dem,0.438376
01025,Jorgensen,Lib,0.003732
01027,Trump,GOP,0.809276
01027,Biden,Dem,0.183066
01027,Jorgensen,Lib,0.007658
01029,Trump,GOP,0.898185
01029,Biden,Dem,0.093503
01029,Jorgensen,Lib,0.008311
01031,Trump,GOP,0.759881
01031,Biden,Dem,0.228248
01031,Jorgensen,Lib,0.011871
01033,Trump,GOP,0.690308
01033,Biden,Dem,0.299914
01033,Jorgensen,Lib,0.009778
01035,Trump,GOP,0.534472
01035,Biden,Dem,0.460559
01035,Jorgensen,Lib,0.004969
01037,Trump,GOP,0.663439
01037,Biden,Dem,0.328156
01037,Jorgensen,Lib,0.008405
01039,Trump,GOP,0.838083
01039,Biden,Dem,0.156343
01039,Jorgensen,Lib,0.005573
01041,Trump,GOP,0.736077
01041,Biden,Dem,0.257264
01041,Jorgensen,Lib,0.006659
01043,Trump,GOP,0.882804
01043,Biden,Dem,0.107191
01043,Jorgensen,Lib,0.010006
01045,Trump,GOP,0.72582
01045,Biden,Dem,0.262357
01045,Jorgensen,Lib,0.011824
01047,Trump,GOP,0.309572
01047,Biden,Dem,0.685384
01047,Jorgensen,Lib,0.005044
01049,Trump,GOP,0.845348
01049,Biden,Dem,0.146119
01049,Jorgensen,Lib,0.008533
01051,Trump,GOP,0.736984
01051,Biden,Dem,0.253292
01051,Jorgensen,Lib,0.009724
01053,Trump,GOP,0.684403
01053,Biden,Dem,0.309678
01053,Jorgensen,Lib,0.005919
01055,Trump,GOP,0.745979
01055,Biden,Dem,0.242872
01055,Jorgensen,Lib,0.011149
01057,Trump,GOP,0.83419
01057,Biden,Dem,0.15941
01057,Jorgensen,Lib,0.006399
01059,Trump,GOP,0.825589
01059,Biden,Dem,0.165977
01059,Jorgensen,Lib,0.008434
